timestamp;windSpeedHH;windDir;assPowerWT1;assPowerWT2;assPowerC;realPowerWT1;realPowerWT2;realPowerCFree;realPowerCRisoe;windSpeedWT1;windSpeedWT2
1;2.0;-2.4;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.970;1.1
2;2.1;-0.5;0.600;0.600;1.200;0.577;0.000;1.154;0.577;2.060;1.1
3;2.3;-5.6;3.000;3.000;6.000;2.884;0.000;5.768;2.884;2.300;1.3
4;2.3;-6.8;2.700;2.700;5.400;2.595;0.000;5.191;2.595;2.270;1.3
5;2.2;0.2;2.400;2.400;4.800;2.307;0.000;4.614;2.307;2.240;1.2
6;2.1;-2.6;1.000;1.000;2.000;0.961;0.000;1.923;0.961;2.100;1.1
7;2.1;-0.1;1.100;1.100;2.200;1.057;0.000;2.115;1.057;2.110;1.1
8;2.1;-4.1;1.300;1.300;2.600;1.250;0.000;2.499;1.250;2.130;1.2
9;1.8;-2.1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.790;1.0
10;1.9;2.6;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.860;1.0
11;1.8;-1.6;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.780;1.0
12;2.2;-5.9;1.600;1.600;3.200;1.538;0.000;3.076;1.538;2.160;1.2
13;2.1;0.6;0.900;0.900;1.800;0.865;0.000;1.730;0.865;2.090;1.1
14;2.0;-0.5;0.200;0.200;0.400;0.192;0.000;0.385;0.192;2.020;1.1
15;2.0;0.4;0.100;0.100;0.200;0.096;0.000;0.192;0.096;2.010;1.1
16;1.9;-0.7;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.890;1.0
17;2.0;-3.1;0.200;0.200;0.400;0.192;0.000;0.385;0.192;2.020;1.1
18;2.0;-1.7;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.000;1.1
19;2.5;-1.0;5.200;5.200;10.400;4.999;0.000;9.997;4.999;2.520;1.4
20;2.2;-0.1;2.200;2.200;4.400;2.115;0.000;4.230;2.115;2.220;1.2
21;2.3;-4.5;2.800;2.800;5.600;2.692;0.000;5.383;2.692;2.280;1.2
22;2.2;-2.3;2.400;2.400;4.800;2.307;0.000;4.614;2.307;2.240;1.2
23;2.1;1.4;1.400;1.400;2.800;1.346;0.000;2.692;1.346;2.140;1.2
24;2.0;-5.6;0.100;0.100;0.200;0.096;0.000;0.192;0.096;2.010;1.1
25;1.8;2.8;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.820;1.0
26;2.0;-1.2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.960;1.1
27;2.2;6.1;2.100;2.100;4.200;2.019;0.000;4.037;2.019;2.210;1.5
28;2.1;6.3;1.000;1.000;2.000;0.961;0.000;1.923;0.961;2.100;1.4
29;2.1;4.7;1.100;1.100;2.200;1.057;0.000;2.115;1.057;2.110;1.3
30;2.1;-2.1;1.100;1.100;2.200;1.057;0.000;2.115;1.057;2.110;1.1
31;2.5;-5.1;4.500;4.500;9.000;4.326;0.000;8.651;4.326;2.450;1.3
32;2.3;-4.1;2.900;2.900;5.800;2.788;0.000;5.575;2.788;2.290;1.2
33;2.2;2.6;2.200;2.200;4.400;2.115;0.000;4.230;2.115;2.220;1.2
34;2.0;3.4;0.300;0.300;0.600;0.288;0.000;0.577;0.288;2.030;1.2
35;1.8;0.8;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.760;0.9
36;1.6;4.4;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.640;1.0
37;1.6;-0.2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.630;0.9
38;1.6;0.4;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.590;0.9
39;2.0;3.2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.960;1.1
40;2.1;1.7;0.600;0.600;1.200;0.577;0.000;1.154;0.577;2.060;1.1
41;2.3;-6.3;3.000;3.000;6.000;2.884;0.000;5.768;2.884;2.300;1.3
42;2.2;0.5;1.900;1.900;3.800;1.826;0.000;3.653;1.826;2.190;1.2
43;2.1;-2.7;1.100;1.100;2.200;1.057;0.000;2.115;1.057;2.110;1.1
44;2.1;0.9;1.400;1.400;2.800;1.346;0.000;2.692;1.346;2.140;1.2
45;1.9;6.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.850;1.2
46;2.3;1.3;3.300;3.300;6.600;3.172;0.000;6.344;3.172;2.330;1.3
47;2.1;-3.7;0.600;0.600;1.200;0.577;0.000;1.154;0.577;2.060;1.1
48;2.0;-2.1;0.500;0.500;1.000;0.481;0.000;0.961;0.481;2.050;1.1
49;1.9;4.1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.910;1.1
50;2.0;2.8;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.960;1.1
51;2.0;1.4;0.300;0.300;0.600;0.288;0.000;0.577;0.288;2.030;1.1
52;2.0;4.5;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.960;1.2
53;2.2;-1.5;1.700;1.700;3.400;1.634;0.000;3.268;1.634;2.170;1.2
54;2.1;1.8;1.200;1.200;2.400;1.154;0.000;2.307;1.154;2.120;1.1
55;1.8;0.6;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.780;1.0
56;2.0;2.0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.990;1.1
57;2.1;0.7;0.800;0.800;1.600;0.769;0.000;1.538;0.769;2.080;1.1
58;2.2;-1.2;1.500;1.500;3.000;1.442;0.000;2.884;1.442;2.150;1.2
59;2.0;5.1;0.300;0.300;0.600;0.288;0.000;0.577;0.288;2.030;1.3
60;2.3;5.6;3.500;3.500;7.000;3.364;0.000;6.729;3.364;2.350;1.5
61;2.9;-2.0;9.100;9.100;18.200;8.747;0.000;17.495;8.747;2.910;1.6
62;3.0;-0.1;10.650;10.650;21.300;10.237;0.000;20.475;10.237;3.050;1.7
63;3.4;-4.8;15.330;15.330;30.660;14.736;0.000;29.472;14.736;3.410;1.9
64;3.3;-5.9;14.550;14.550;29.100;13.986;0.000;27.973;13.986;3.350;1.8
65;3.3;0.5;14.290;14.290;28.580;13.736;0.000;27.473;13.736;3.330;1.8
66;3.1;-2.3;11.430;11.430;22.860;10.987;0.000;21.974;10.987;3.110;1.7
67;3.1;0.1;11.820;11.820;23.640;11.362;0.000;22.724;11.362;3.140;1.7
68;3.2;-3.6;12.730;12.730;25.460;12.237;0.000;24.474;12.237;3.210;1.8
69;2.7;-1.8;6.700;6.700;13.400;6.440;0.000;12.881;6.440;2.670;1.5
70;2.8;2.5;8.000;8.000;16.000;7.690;0.000;15.380;7.690;2.800;1.6
71;2.7;-1.3;6.600;6.600;13.200;6.344;0.000;12.689;6.344;2.660;1.5
72;3.3;-5.3;13.250;13.250;26.500;12.737;0.000;25.473;12.737;3.250;1.8
73;3.1;0.8;11.690;11.690;23.380;11.237;0.000;22.474;11.237;3.130;1.7
74;3.0;-0.5;10.260;10.260;20.520;9.863;0.000;19.725;9.863;3.020;1.7
75;3.0;0.4;10.130;10.130;20.260;9.738;0.000;19.475;9.738;3.010;1.7
76;2.8;-0.5;8.200;8.200;16.400;7.882;0.000;15.765;7.882;2.820;1.5
77;3.0;-2.7;10.130;10.130;20.260;9.738;0.000;19.475;9.738;3.010;1.7
78;3.0;-1.4;9.500;9.500;19.000;9.132;0.000;18.264;9.132;2.950;1.6
79;3.8;-0.9;19.880;19.880;39.760;19.110;1.231;38.220;20.341;3.760;2.1
80;3.3;0.1;13.380;13.380;26.760;12.862;0.000;25.723;12.862;3.260;1.8
81;3.4;-4.0;14.680;14.680;29.360;14.111;0.000;28.223;14.111;3.360;1.9
82;3.3;-2.0;14.160;14.160;28.320;13.611;0.000;27.223;13.611;3.320;1.8
83;3.2;1.6;12.340;12.340;24.680;11.862;0.000;23.724;11.862;3.180;1.7
84;3.0;-5.3;10.000;10.000;20.000;9.613;0.000;19.225;9.613;3.000;1.6
85;2.7;2.8;7.100;7.100;14.200;6.825;0.000;13.650;6.825;2.710;1.5
86;2.9;-1.5;9.200;9.200;18.400;8.844;0.000;17.687;8.844;2.920;1.6
87;3.3;5.3;13.900;13.900;27.800;13.362;1.747;26.723;15.109;3.300;2.1
88;3.1;5.3;11.560;11.560;23.120;11.112;0.656;22.224;11.768;3.120;2.0
89;3.1;4.1;11.560;11.560;23.120;11.112;0.000;22.224;11.112;3.120;1.9
90;3.1;-1.9;11.430;11.430;22.860;10.987;0.000;21.974;10.987;3.110;1.7
91;3.6;-4.4;18.320;18.320;36.640;17.610;0.573;35.221;18.184;3.640;2.0
92;3.4;-3.7;14.940;14.940;29.880;14.361;0.000;28.723;14.361;3.380;1.9
93;3.3;2.3;14.030;14.030;28.060;13.487;0.000;26.973;13.487;3.310;1.8
94;3.0;2.9;10.520;10.520;21.040;10.112;0.000;20.225;10.112;3.040;1.7
95;2.7;0.4;6.700;6.700;13.400;6.440;0.000;12.881;6.440;2.670;1.5
96;2.5;3.9;5.000;5.000;10.000;4.806;0.000;9.613;4.806;2.500;1.5
97;2.5;-0.3;5.000;5.000;10.000;4.806;0.000;9.613;4.806;2.500;1.4
98;2.4;0.2;4.200;4.200;8.400;4.037;0.000;8.075;4.037;2.420;1.3
99;3.0;2.8;9.700;9.700;19.400;9.324;0.000;18.649;9.324;2.970;1.7
100;3.1;1.7;11.040;11.040;22.080;10.612;0.000;21.225;10.612;3.080;1.7
101;3.4;-5.7;15.720;15.720;31.440;15.111;0.000;30.222;15.111;3.440;1.9
102;3.3;0.8;13.380;13.380;26.760;12.862;0.000;25.723;12.862;3.260;1.8
103;3.1;-2.5;11.690;11.690;23.380;11.237;0.000;22.474;11.237;3.130;1.7
104;3.2;0.8;12.600;12.600;25.200;12.112;0.000;24.224;12.112;3.200;1.8
105;2.7;5.4;7.200;7.200;14.400;6.921;0.000;13.842;6.921;2.720;1.8
106;3.5;1.1;16.500;16.500;33.000;15.861;0.000;31.722;15.861;3.500;1.9
107;3.1;-3.3;10.780;10.780;21.560;10.362;0.000;20.725;10.362;3.060;1.7
108;3.1;-1.9;11.040;11.040;22.080;10.612;0.000;21.225;10.612;3.080;1.7
109;2.8;3.6;8.400;8.400;16.800;8.075;0.000;16.149;8.075;2.840;1.7
110;2.9;2.3;9.400;9.400;18.800;9.036;0.000;18.072;9.036;2.940;1.6
111;3.0;1.0;10.650;10.650;21.300;10.237;0.000;20.475;10.237;3.050;1.7
112;2.9;4.0;9.200;9.200;18.400;8.844;0.000;17.687;8.844;2.920;1.8
113;3.3;-1.6;13.250;13.250;26.500;12.737;0.000;25.473;12.737;3.250;1.8
114;3.2;1.7;12.340;12.340;24.680;11.862;0.000;23.724;11.862;3.180;1.7
115;2.7;0.4;6.500;6.500;13.000;6.248;0.000;12.496;6.248;2.650;1.4
116;3.0;1.8;9.800;9.800;19.600;9.420;0.000;18.841;9.420;2.980;1.6
117;3.1;0.6;11.430;11.430;22.860;10.987;0.000;21.974;10.987;3.110;1.7
118;3.2;-1.3;12.600;12.600;25.200;12.112;0.000;24.224;12.112;3.200;1.8
119;3.0;4.5;9.800;9.800;19.600;9.420;0.000;18.841;9.420;2.980;1.8
120;3.5;5.0;16.240;16.240;32.480;15.611;2.567;31.222;18.178;3.480;2.2
121;3.8;-1.7;21.050;21.050;42.100;20.235;1.723;40.469;21.958;3.850;2.1
122;4.0;0.0;23.760;23.760;47.520;22.840;2.749;45.679;25.589;4.040;2.2
123;4.5;-4.2;32.690;32.690;65.380;31.424;5.307;62.847;36.730;4.510;2.5
124;4.4;-5.4;30.790;30.790;61.580;29.597;4.751;59.195;34.348;4.410;2.4
125;4.4;0.6;30.600;30.600;61.200;29.415;4.701;58.829;34.116;4.400;2.4
126;4.1;-2.1;25.090;25.090;50.180;24.118;3.138;48.236;27.257;4.110;2.3
127;4.2;0.3;26.230;26.230;52.460;25.214;3.454;50.428;28.668;4.170;2.3
128;4.3;-3.2;28.320;28.320;56.640;27.223;4.061;54.446;31.284;4.280;2.4
129;3.6;-1.5;17.410;17.410;34.820;16.736;0.200;33.471;16.935;3.570;2.0
130;3.8;2.3;20.010;20.010;40.020;19.235;1.450;38.470;20.685;3.770;2.1
131;3.5;-1.1;17.150;17.150;34.300;16.486;0.090;32.971;16.575;3.550;2.0
132;4.3;-4.7;29.460;29.460;58.920;28.319;4.377;56.638;32.696;4.340;2.4
133;4.2;0.9;26.230;26.230;52.460;25.214;3.448;50.428;28.662;4.170;2.3
134;4.0;-0.5;23.380;23.380;46.760;22.474;2.644;44.949;25.118;4.020;2.2
135;4.0;0.4;23.380;23.380;46.760;22.474;2.637;44.949;25.112;4.020;2.2
136;3.8;-0.4;19.750;19.750;39.500;18.985;1.175;37.970;20.160;3.750;2.1
137;4.0;-2.4;23.190;23.190;46.380;22.292;2.594;44.583;24.886;4.010;2.2
138;3.9;-1.2;21.570;21.570;43.140;20.734;1.940;41.469;22.674;3.890;2.2
139;5.0;-0.8;41.810;41.810;83.620;40.190;7.923;80.381;48.113;4.990;2.8
140;4.3;0.2;28.130;28.130;56.260;27.040;3.999;54.081;31.039;4.270;2.4
141;4.4;-3.6;31.360;31.360;62.720;30.145;4.930;60.290;35.075;4.440;2.5
142;4.4;-1.8;30.410;30.410;60.820;29.232;4.662;58.464;33.894;4.390;2.4
143;4.2;1.6;27.180;27.180;54.360;26.127;3.711;52.254;29.838;4.220;2.3
144;4.0;-4.8;22.870;22.870;45.740;21.984;2.473;43.968;24.457;3.990;2.2
145;3.6;2.7;17.930;17.930;35.860;17.235;0.870;34.471;18.105;3.610;2.0
146;3.9;-1.5;21.570;21.570;43.140;20.734;1.941;41.469;22.675;3.890;2.2
147;4.4;4.8;30.410;30.410;60.820;29.232;7.891;58.464;37.123;4.390;2.8
148;4.1;4.7;25.280;25.280;50.560;24.301;6.129;48.601;30.430;4.120;2.6
149;4.1;3.7;25.470;25.470;50.940;24.483;4.947;48.967;29.430;4.130;2.5
150;4.1;-1.8;24.710;24.710;49.420;23.753;3.029;47.506;26.782;4.090;2.3
151;4.8;-3.9;38.390;38.390;76.780;36.903;6.941;73.806;43.844;4.810;2.7
152;4.5;-3.3;31.740;31.740;63.480;30.510;5.040;61.021;35.551;4.460;2.5
153;4.4;2.2;30.220;30.220;60.440;29.049;4.723;58.099;33.772;4.380;2.4
154;4.1;2.6;24.140;24.140;48.280;23.205;3.301;46.410;26.506;4.060;2.3
155;3.6;0.3;17.670;17.670;35.340;16.986;0.300;33.971;17.285;3.590;2.0
156;3.4;3.5;15.070;15.070;30.140;14.486;0.347;28.972;14.834;3.390;2.0
157;3.4;-0.4;15.200;15.200;30.400;14.611;0.000;29.222;14.611;3.400;1.9
158;3.3;0.2;13.380;13.380;26.760;12.862;0.000;25.723;12.862;3.260;1.8
159;4.0;2.5;22.870;22.870;45.740;21.984;2.802;43.968;24.786;3.990;2.2
160;4.1;1.6;24.710;24.710;49.420;23.753;3.004;47.506;26.757;4.090;2.3
161;4.6;-5.3;33.640;33.640;67.280;32.337;5.568;64.674;37.905;4.560;2.5
162;4.3;0.9;28.890;28.890;57.780;27.771;4.210;55.542;31.980;4.310;2.4
163;4.2;-2.3;25.850;25.850;51.700;24.849;3.356;49.697;28.205;4.150;2.3
164;4.3;0.7;27.940;27.940;55.880;26.858;3.940;53.715;30.797;4.260;2.4
165;3.6;4.9;17.670;17.670;35.340;16.986;3.091;33.971;20.076;3.590;2.3
166;4.7;0.9;35.730;35.730;71.460;34.346;6.166;68.692;40.512;4.670;2.6
167;4.1;-3.0;23.950;23.950;47.900;23.022;2.811;46.045;25.833;4.050;2.2
168;4.1;-1.7;24.900;24.900;49.800;23.935;3.084;47.871;27.019;4.100;2.3
169;3.8;3.3;20.270;20.270;40.540;19.485;2.475;38.970;21.960;3.790;2.2
170;3.9;2.0;22.090;22.090;44.180;21.234;2.177;42.469;23.412;3.930;2.2
