timestamp;id;weight0;weight1;weight2;weight3
1;7;2;33;29;33
2;7;19;56;32;17
3;7;54;15;8;47
4;7;54;54;29;57
5;7;38;32;59;15
6;7;58;41;54;23
7;7;25;16;39;34
8;7;33;27;10;13
9;7;36;19;52;46
10;7;45;35;36;41
11;7;15;15;16;20
12;7;24;43;31;27
13;7;7;59;9;56
14;7;4;15;27;13
15;7;33;56;35;33
16;7;9;19;16;50
17;7;60;52;54;1
18;7;50;59;2;18
19;7;29;27;40;8
20;7;17;13;5;45
21;7;49;57;16;7
22;7;8;3;24;17
23;7;39;51;2;40
24;7;29;55;33;23
25;7;40;23;24;18
26;7;36;60;34;8
27;7;22;51;36;31
28;7;14;10;26;30
29;7;16;43;44;54
30;7;17;52;32;27
31;7;37;34;20;29
32;7;2;50;34;43
33;7;47;18;56;36
34;7;24;46;18;15
35;7;57;38;50;24
36;7;44;10;60;58
37;7;53;15;24;38
38;7;21;3;13;7
39;7;48;21;34;13
40;7;30;9;44;29
41;7;36;41;18;53
42;7;45;55;18;13
43;7;58;0;8;0
44;7;55;24;49;57
45;7;21;35;11;2
46;7;48;46;3;39
47;7;27;21;7;31
48;7;43;7;56;11
49;7;53;45;11;30
50;7;25;48;9;39
51;7;23;19;58;40
52;7;40;29;22;57
53;7;16;34;44;39
54;7;57;29;37;8
55;7;25;45;31;28
56;7;58;15;28;25
57;7;47;42;1;41
58;7;37;9;57;6
59;7;11;29;28;1
60;7;59;40;32;36
61;7;3;45;38;39
62;7;22;38;36;22
63;7;10;19;34;52
64;7;24;36;8;30
65;7;48;46;15;25
66;7;40;54;32;10
67;7;35;31;43;25
68;7;39;10;52;18
69;7;5;38;31;38
70;7;35;41;5;5
71;7;56;6;44;45
72;7;51;18;38;12
73;7;3;32;41;33
74;7;47;17;53;51
75;7;16;32;10;29
76;7;2;57;10;13
77;7;8;3;44;58
78;7;59;14;9;28
79;7;13;29;39;6
80;7;47;19;14;49
81;7;50;30;9;3
82;7;6;10;52;12
83;7;57;46;22;8
84;7;15;32;5;23
85;7;58;53;6;11
86;7;59;34;38;52
87;7;31;25;3;58
88;7;34;30;34;29
89;7;24;55;26;40
90;7;57;41;8;4
91;7;20;60;1;34
92;7;32;9;19;9
93;7;17;58;55;39
94;7;33;21;18;44
95;7;12;55;51;39
96;7;55;51;51;43
97;7;54;49;26;41
98;7;30;2;19;23
99;7;7;9;5;48
100;7;49;13;42;53
101;7;49;21;19;36
102;7;44;37;4;57
103;7;50;49;29;12
104;7;43;5;15;11
105;7;47;19;37;3
106;7;31;36;32;20
107;7;17;13;23;12
108;7;38;56;51;49
109;7;49;41;43;18
110;7;45;56;38;16
111;7;33;46;33;19
112;7;56;23;29;47
113;7;13;15;37;41
114;7;24;18;2;8
115;7;48;20;14;25
116;7;13;13;49;19
117;7;37;52;42;27
118;7;3;57;17;2
119;7;50;30;36;11
120;7;54;27;43;54
121;7;56;53;11;4
122;7;31;9;7;46
123;7;25;11;27;34
124;7;53;53;10;14
125;7;33;6;59;59
126;7;48;3;56;10
127;7;24;17;18;52
128;7;49;46;43;1
129;7;12;4;20;2
130;7;47;9;25;11
131;7;39;36;37;33
132;7;38;58;13;37
133;7;9;57;46;59
134;7;33;20;30;27
135;7;31;46;43;47
136;7;29;9;14;29
137;7;7;31;49;56
138;7;23;21;17;35
139;7;19;30;30;45
140;7;2;30;33;35
141;7;28;53;13;50
142;7;11;54;26;57
143;7;21;52;0;30
144;7;15;30;35;31
145;7;9;21;42;51
146;7;54;13;30;6
